HN,คำนำหน้า,ชื่อ,สกุล,เลขบัตรประชาชน,วันเดือนปีเกิด,อายุ,ระดับการศึกษา,เพศ,บ้านเลขที่,หมู่,ตำบล,อำเภอ,จังหวัด,ที่อยู่รวม,ชื่อผู้ดูแล,เบอร์โทรศัพท์,มีโรคประจำตัว,รายละเอียดโรคประจำตัว,คะแนน MMSE,ผล MMSE,คะแนน TGDS,ผล TGDS,คะแนน 8Q,ระดับความเสี่ยงฆ่าตัวตาย,ผลการได้ยินหูซ้าย,รายละเอียดหูซ้าย,ผลการได้ยินหูขวา,รายละเอียดหูขวา,การมองเห็นตาขวา (Snellen),การมองเห็นตาซ้าย (Snellen),ภาวะกลั้นปัสสาวะ,ปัญหาการนอน,วันที่ประเมิน
HN000751,นางสาว,วรัญญา,อินทรสุข,7923969635663.00,1957-11-06,68,ประถมศึกษา,หญิง,59,3,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 59 หมู่ 3 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,จิตรา สมใจ,925012558,มี,ข้อเข่าเสื่อม,26,ปกติ,5,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงเล็กน้อย,ปกติ,,6/9,6/6,ไม่มี,ส่งต่อแพทย์,2025-01-25
HN000752,นาย,ชยาธิป,ศรีบุญ,8686798719689.00,1962-11-06,63,สูงกว่าประถมศึกษา,ชาย,271,12,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 271 หมู่ 12 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,ปวีณ์นุช แสงทอง,638008097,มี,ข้อเข่าเสื่อม,28,ปกติ,6,ปกติ,3,ต่ำ,ปกติ,,ปกติ,,6/6,6/9,ไม่มี,ไม่มี,2025-03-10
HN000753,นาง,วรัญญา,ทองมาก,9134759763784.00,1950-08-04,75,สูงกว่าประถมศึกษา,ชาย,135,17,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 135 หมู่ 17 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,ไม่มีผู้ดูแล,906657853,ไม่มี,ไม่มี,24,ปกติ,3,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,หูตึงรุนแรง,6/18,6/18,ไม่มี,ไม่มี,2025-05-16
HN000754,นางสาว,อนันต์,ใจดี,2784682107999.00,1950-02-04,75,ประถมศึกษา,หญิง,155,17,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 155 หมู่ 17 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,อาทิตย์ แสงทอง,691091773,มี,ข้อเข่าเสื่อม,25,ปกติ,6,ปกติ,3,ต่ำ,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,หูตึงรุนแรง,6/12,6/9,ไม่มี,ส่งต่อแพทย์,2025-02-16
HN000755,นางสาว,ธนพล,ศรีนวล,3902827797449.00,1960-05-19,65,ไม่ได้เรียนหนังสือ,หญิง,196,9,ต.ริมกก,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 196 หมู่ 9 ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย,วิชัย สมใจ,932125816,ไม่มี,ไม่มี,29,ปกติ,4,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงปานกลาง,ปกติ,,6/6,6/6,ไม่มี,ไม่มี,2025-02-26
HN000756,นาง,ลลิตา,กิตติเดช,7012315396840.00,1949-03-16,76,ประถมศึกษา,หญิง,184,2,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 184 หมู่ 2 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,กมล เพ็งดี,913270687,ไม่มี,ไม่มี,22,สงสัยผิดปกติ,3,ปกติ,2,ต่ำ,ปกติ,,ปกติ,,6/9,6/18,ไม่มี,ไม่มี,2025-02-10
HN000757,นางสาว,ชยพล,อินทร์ทอง,1608755990527.00,1935-12-27,90,สูงกว่าประถมศึกษา,หญิง,1,4,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 1 หมู่ 4 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,ไม่มีผู้ดูแล,994909207,มี,โรคหัวใจ,24,ปกติ,10,เสี่ยงซึมเศร้า,5,ต่ำ,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/12,6/12,ไม่มี,ไม่มี,2025-06-27
HN000758,นาย,สมชาย,จันทร์เพ็ญ,1773180144549.00,1950-04-27,75,ไม่ได้เรียนหนังสือ,ชาย,226,7,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 226 หมู่ 7 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,ทศพล บุญเรือง,821744200,มี,ข้อเข่าเสื่อม,21,สงสัยผิดปกติ,7,เสี่ยงซึมเศร้า,10,ปานกลาง,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/12,6/12,มี,ไม่มี,2025-03-16
HN000759,นาง,สมชาย,สิงหนาท,5229909391001.00,1951-10-07,74,สูงกว่าประถมศึกษา,ชาย,280,14,ต.ลาดพร้าว,อ.ลาดพร้าว,จ.กรุงเทพมหานคร,บ้านเลขที่ 280 หมู่ 14 ต.ลาดพร้าว อ.ลาดพร้าว จ.กรุงเทพมหานคร,ทศพล แสงทอง,893866387,ไม่มี,ไม่มี,29,ปกติ,6,ปกติ,4,ต่ำ,ปกติ,,ปกติ,,6/9,6/9,ไม่มี,ไม่มี,2025-07-07
HN000760,นางสาว,ภูริ,บุญมา,3185208372207.00,1931-10-23,94,สูงกว่าประถมศึกษา,ชาย,295,11,ต.สำราญ,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 295 หมู่ 11 ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น,จิตรา อินทรา,623067653,ไม่มี,ไม่มี,22,สงสัยผิดปกติ,6,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงรุนแรง,ปกติ,,6/12,6/24,ไม่มี,ไม่มี,2025-12-26
HN000761,นางสาว,วรัญญา,เกียรติก้อง,9949137102523.00,1958-08-10,67,สูงกว่าประถมศึกษา,หญิง,299,4,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 299 หมู่ 4 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,ไม่มีผู้ดูแล,818520788,มี,ข้อเข่าเสื่อม,30,ปกติ,5,ปกติ,4,ต่ำ,ปกติ,,ปกติ,,6/12,6/12,ไม่มี,ไม่มี,2025-06-06
HN000762,นางสาว,รุ้งตะวัน,เสริมสุข,7216343317191.00,1952-01-27,73,ประถมศึกษา,ชาย,246,7,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 246 หมู่ 7 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,วิชัย เพ็งดี,611871665,ไม่มี,ไม่มี,28,ปกติ,4,ปกติ,2,ต่ำ,ปกติ,,ปกติ,,6/9,6/9,ไม่มี,ไม่มี,2025-08-26
HN000763,นางสาว,สิทธา,อินทร์ทอง,4565320705794.00,1963-11-15,62,ประถมศึกษา,หญิง,268,9,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 268 หมู่ 9 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,อาทิตย์ วงศ์ไทย,966775653,มี,โรคหัวใจ,26,ปกติ,7,เสี่ยงซึมเศร้า,3,ต่ำ,ปกติ,,ปกติ,,6/6,6/12,ไม่มี,ส่งต่อแพทย์,2025-06-16
HN000764,นางสาว,จิราภรณ์,ศรีนวล,1562966076495.00,1946-06-08,79,สูงกว่าประถมศึกษา,หญิง,250,7,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 250 หมู่ 7 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,สมโภชน์ คำแปง,985706657,ไม่มี,ไม่มี,23,สงสัยผิดปกติ,3,ปกติ,3,ต่ำ,ปกติ,,ผิดปกติ,หูตึงปานกลาง,6/9,6/12,ไม่มี,ไม่มี,2025-09-26
HN000765,นาง,ขวัญใจ,ศิริกุล,3702232977663.00,1952-01-15,73,ประถมศึกษา,หญิง,126,5,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 126 หมู่ 5 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,นงนุช ชูศรี,833456384,ไม่มี,ไม่มี,29,ปกติ,10,เสี่ยงซึมเศร้า,1,ต่ำ,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,หูตึงรุนแรง,6/18,6/18,ไม่มี,ไม่มี,2025-04-21
HN000766,นาย,ธิดารัตน์,มณีวรรณ,2425723421030.00,1938-03-03,87,ประถมศึกษา,ชาย,110,10,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 110 หมู่ 10 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,ไม่มีผู้ดูแล,972355736,ไม่มี,ไม่มี,23,สงสัยผิดปกติ,11,เสี่ยงซึมเศร้า,9,ปานกลาง,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,ได้ยินไม่ชัด,6/24,6/12,มี,ไม่มี,2025-04-08
HN000767,นาย,วรพล,จันทร์เพ็ญ,6880278579427.00,1933-04-26,92,ประถมศึกษา,ชาย,187,11,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 187 หมู่ 11 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,ไม่มีผู้ดูแล,609885840,มี,โรคหัวใจ,26,ปกติ,3,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงเล็กน้อย,ผิดปกติ,หูตึงรุนแรง,6/18,6/24,มี,ไม่มี,2025-07-18
HN000768,นาย,ณัฐพล,คำแหง,3436621145464.00,1954-07-21,71,สูงกว่าประถมศึกษา,หญิง,100,13,ต.ริมกก,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 100 หมู่ 13 ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย,สมพร วัฒนกิจ,814187982,ไม่มี,ไม่มี,26,ปกติ,5,ปกติ,4,ต่ำ,ผิดปกติ,หูตึงเล็กน้อย,ปกติ,,6/12,6/9,ไม่มี,ไม่มี,2025-12-18
HN000769,นาย,ลลิตา,ศรีนวล,9953752632747.00,1944-10-24,81,ประถมศึกษา,ชาย,255,18,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 255 หมู่ 18 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,อาทิตย์ ชูศรี,609240688,มี,ข้อเข่าเสื่อม,18,สงสัยผิดปกติ,13,เสี่ยงซึมเศร้า,4,ต่ำ,ผิดปกติ,หูตึงเล็กน้อย,ปกติ,,6/12,6/12,ไม่มี,ไม่มี,2025-06-04
HN000770,นาง,ขวัญใจ,บุญช่วย,6814105515737.00,1952-01-27,73,ประถมศึกษา,ชาย,10,14,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 10 หมู่ 14 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,วิชัย เพ็งดี,996533847,ไม่มี,ไม่มี,28,ปกติ,4,ปกติ,2,ต่ำ,ปกติ,,ปกติ,,6/9,6/9,ไม่มี,ไม่มี,2025-08-26
HN000771,นาย,กันตพงศ์,อรุณสวัสดิ์,6733975718604.00,1965-02-02,60,สูงกว่าประถมศึกษา,หญิง,168,6,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 168 หมู่ 6 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,อาทิตย์ เพ็งดี,814101145,ไม่มี,ไม่มี,26,ปกติ,8,เสี่ยงซึมเศร้า,8,ปานกลาง,ปกติ,,ปกติ,,6/12,6/9,มี,ไม่มี,2025-06-26
HN000772,นาง,ธิดารัตน์,โชติช่วง,3529113467513.00,1963-04-02,62,ประถมศึกษา,หญิง,214,5,ต.ท่าวังทอง,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 214 หมู่ 5 ต.ท่าวังทอง อ.เมืองพะเยา จ.พะเยา,จิตรา ชูศรี,622477934,ไม่มี,ไม่มี,30,ปกติ,2,ปกติ,4,ต่ำ,ผิดปกติ,หูตึงเล็กน้อย,ปกติ,,6/6,6/12,ไม่มี,ส่งต่อแพทย์,2025-10-17
HN000773,นาย,ณัฐพล,สายชล,2422452620069.00,1956-11-02,69,ประถมศึกษา,ชาย,223,17,ต.ท่าวังทอง,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 223 หมู่ 17 ต.ท่าวังทอง อ.เมืองพะเยา จ.พะเยา,กมล คำแปง,901985355,มี,ข้อเข่าเสื่อม,24,ปกติ,7,เสี่ยงซึมเศร้า,8,ปานกลาง,ปกติ,,ปกติ,,6/12,6/12,ไม่มี,ส่งต่อแพทย์,2025-07-25
HN000774,นาง,ภูผา,ปัญญาธรรม,2049436410116.00,1947-01-04,78,ประถมศึกษา,ชาย,234,3,ต.หัวหมาก,อ.บางกะปิ,จ.กรุงเทพมหานคร,บ้านเลขที่ 234 หมู่ 3 ต.หัวหมาก อ.บางกะปิ จ.กรุงเทพมหานคร,ทศพล คำแปง,945902850,มี,ความดันโลหิตสูง,22,สงสัยผิดปกติ,3,ปกติ,4,ต่ำ,ปกติ,,ผิดปกติ,หูตึงรุนแรง,6/9,6/9,ไม่มี,ไม่มี,2025-04-21
HN000775,นาย,นรินทร์,ศิริกุล,5183840114721.00,1957-11-06,68,ประถมศึกษา,หญิง,81,18,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 81 หมู่ 18 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,จิตรา สมใจ,861652717,มี,ข้อเข่าเสื่อม,26,ปกติ,5,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงเล็กน้อย,ปกติ,,6/9,6/6,ไม่มี,ส่งต่อแพทย์,2025-01-25
HN000776,นาง,กิตติชัย,บุญช่วย,8181407054609.00,1950-05-19,75,ประถมศึกษา,หญิง,179,18,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 179 หมู่ 18 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,สมพร แสงทอง,978225470,มี,ไตเรื้อรัง,22,สงสัยผิดปกติ,3,ปกติ,0,ไม่มีความเสี่ยง,ปกติ,,ผิดปกติ,หูตึงเล็กน้อย,6/9,6/18,ไม่มี,ไม่มี,2025-05-24
HN000777,นางสาว,วรพล,รุ่งเรือง,6053441799431.00,1934-08-23,91,ประถมศึกษา,ชาย,144,4,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 144 หมู่ 4 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,สมโภชน์ แสงทอง,887868201,มี,ไขมันในเลือดสูง,24,ปกติ,12,เสี่ยงซึมเศร้า,5,ต่ำ,ปกติ,,ผิดปกติ,หูตึงปานกลาง,6/12,6/18,ไม่มี,ไม่มี,2025-10-27
HN000778,นาง,กิตติชัย,ทรัพย์เพิ่มพูน,3244021562714.00,1946-06-25,79,สูงกว่าประถมศึกษา,ชาย,93,2,ต.หัวหมาก,อ.บางกะปิ,จ.กรุงเทพมหานคร,บ้านเลขที่ 93 หมู่ 2 ต.หัวหมาก อ.บางกะปิ จ.กรุงเทพมหานคร,สมพร วงศ์ไทย,625025366,มี,หอบหืด,24,ปกติ,9,เสี่ยงซึมเศร้า,5,ต่ำ,ปกติ,,ผิดปกติ,ได้ยินไม่ชัด,6/9,6/12,ไม่มี,ไม่มี,2025-09-13
HN000779,นาง,สมศรี,ศิริกุล,8345040413871.00,1951-05-02,74,สูงกว่าประถมศึกษา,หญิง,45,18,ต.สุเทพ,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 45 หมู่ 18 ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่,กมล วงศ์ไทย,642105653,ไม่มี,ไม่มี,25,ปกติ,8,เสี่ยงซึมเศร้า,11,สูง,ผิดปกติ,หูตึงเล็กน้อย,ผิดปกติ,ได้ยินไม่ชัด,6/18,6/18,ไม่มี,ไม่มี,2025-02-10
HN000780,นาง,สมปอง,สิงหนาท,5101666577195.00,1950-02-04,75,ประถมศึกษา,หญิง,153,10,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 153 หมู่ 10 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,อาทิตย์ แสงทอง,905426850,มี,ข้อเข่าเสื่อม,25,ปกติ,6,ปกติ,3,ต่ำ,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,หูตึงรุนแรง,6/12,6/9,ไม่มี,ส่งต่อแพทย์,2025-02-16
HN000781,นาย,สายฝน,โชติช่วง,2400360013758.00,1944-07-04,81,ประถมศึกษา,หญิง,296,10,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 296 หมู่ 10 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,จิตรา บุญเรือง,639622071,มี,หอบหืด,23,สงสัยผิดปกติ,11,เสี่ยงซึมเศร้า,7,ปานกลาง,ปกติ,,ผิดปกติ,ได้ยินไม่ชัด,6/18,6/18,ไม่มี,ไม่มี,2025-11-04
HN000782,นาง,ขวัญใจ,ปฐวี,4470005157793.00,1946-06-08,79,สูงกว่าประถมศึกษา,หญิง,240,8,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 240 หมู่ 8 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,สมโภชน์ คำแปง,675491962,ไม่มี,ไม่มี,23,สงสัยผิดปกติ,3,ปกติ,3,ต่ำ,ปกติ,,ผิดปกติ,หูตึงปานกลาง,6/9,6/12,ไม่มี,ไม่มี,2025-09-26
HN000783,นางสาว,ชยพล,สิงหนาท,2442452321647.00,1950-05-19,75,ประถมศึกษา,หญิง,5,14,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 5 หมู่ 14 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,สมพร แสงทอง,951528636,มี,ไตเรื้อรัง,22,สงสัยผิดปกติ,3,ปกติ,0,ไม่มีความเสี่ยง,ปกติ,,ผิดปกติ,หูตึงเล็กน้อย,6/9,6/18,ไม่มี,ไม่มี,2025-05-24
HN000784,นางสาว,ชยพล,บุญช่วย,4402135966027.00,1941-04-16,84,สูงกว่าประถมศึกษา,หญิง,13,11,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 13 หมู่ 11 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,สมโภชน์ วัฒนกิจ,994614669,มี,โรคหัวใจ,23,สงสัยผิดปกติ,10,เสี่ยงซึมเศร้า,1,ต่ำ,ผิดปกติ,หูตึงปานกลาง,ปกติ,,6/24,6/24,มี,ไม่มี,2025-11-04
HN000785,นางสาว,สมศรี,ใจดี,6226099016583.00,1942-04-27,83,ประถมศึกษา,ชาย,113,19,ต.บางเขน,อ.บางเขน,จ.กรุงเทพมหานคร,บ้านเลขที่ 113 หมู่ 19 ต.บางเขน อ.บางเขน จ.กรุงเทพมหานคร,ไม่มีผู้ดูแล,908385401,ไม่มี,ไม่มี,21,สงสัยผิดปกติ,14,เสี่ยงซึมเศร้า,5,ต่ำ,ปกติ,,ผิดปกติ,หูตึงรุนแรง,6/24,6/24,มี,ไม่มี,2025-10-20
HN000786,นาง,กฤตภาส,บุญยืน,1548625005080.00,1948-04-28,77,สูงกว่าประถมศึกษา,หญิง,44,10,ต.ลาดพร้าว,อ.ลาดพร้าว,จ.กรุงเทพมหานคร,บ้านเลขที่ 44 หมู่ 10 ต.ลาดพร้าว อ.ลาดพร้าว จ.กรุงเทพมหานคร,ปวีณ์นุช แสงทอง,869837083,มี,ความดันโลหิตสูง,26,ปกติ,8,เสี่ยงซึมเศร้า,6,ปานกลาง,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/9,6/9,ไม่มี,ไม่มี,2025-07-26
HN000787,นางสาว,จิราภรณ์,กิตติเดช,6634920806282.00,1939-04-21,86,ประถมศึกษา,หญิง,4,11,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 4 หมู่ 11 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,ไม่มีผู้ดูแล,670914857,ไม่มี,ไม่มี,19,สงสัยผิดปกติ,5,ปกติ,4,ต่ำ,ผิดปกติ,ได้ยินไม่ชัด,ผิดปกติ,ติดเชื้อในหู,6/12,6/12,ไม่มี,ส่งต่อแพทย์,2025-02-28
HN000788,นางสาว,รุ้งตะวัน,เรืองเดช,9039555877365.00,1963-04-26,62,ไม่ได้เรียนหนังสือ,หญิง,220,3,ต.ริมกก,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 220 หมู่ 3 ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย,จารุวรรณ บุญเรือง,881818717,มี,ไตเรื้อรัง,28,ปกติ,4,ปกติ,4,ต่ำ,ผิดปกติ,หูตึงรุนแรง,ปกติ,,6/9,6/12,ไม่มี,ไม่มี,2025-12-11
HN000789,นาง,สมปอง,อรุณสวัสดิ์,4317595579383.00,1934-08-23,91,ประถมศึกษา,ชาย,53,1,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 53 หมู่ 1 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,สมโภชน์ แสงทอง,821209938,มี,ไขมันในเลือดสูง,24,ปกติ,12,เสี่ยงซึมเศร้า,5,ต่ำ,ปกติ,,ผิดปกติ,หูตึงปานกลาง,6/12,6/18,ไม่มี,ไม่มี,2025-10-27
HN000790,นางสาว,ธิดารัตน์,มงคลชัย,2980914154708.00,1932-04-27,93,สูงกว่าประถมศึกษา,หญิง,248,9,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 248 หมู่ 9 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,จิตรา วัฒนกิจ,847077897,ไม่มี,ไม่มี,18,สงสัยผิดปกติ,7,เสี่ยงซึมเศร้า,0,ไม่มีความเสี่ยง,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/24,6/24,ไม่มี,ส่งต่อแพทย์,2025-11-24
HN000791,นาง,ณัฐพล,สุวรรณศิลป์,1864694189548.00,1933-12-21,92,สูงกว่าประถมศึกษา,ชาย,118,7,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 118 หมู่ 7 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,กมล บุญเรือง,645741508,ไม่มี,ไม่มี,27,ปกติ,6,ปกติ,3,ต่ำ,ผิดปกติ,ได้ยินไม่ชัด,ปกติ,,6/24,6/24,ไม่มี,ไม่มี,2025-01-15
HN000792,นาย,กิตติชัย,ทองดี,1344029007544.00,1965-06-06,60,ไม่ได้เรียนหนังสือ,ชาย,281,3,ต.สำราญ,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 281 หมู่ 3 ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น,อาทิตย์ ปัญญา,852818768,มี,ไขมันในเลือดสูง,30,ปกติ,3,ปกติ,3,ต่ำ,ปกติ,,ปกติ,,6/6,6/9,มี,ส่งต่อแพทย์,2025-05-26
HN000793,นาย,ภูริ,คำแหง,3991736205170.00,1944-10-23,81,ประถมศึกษา,ชาย,121,20,ต.บางเขน,อ.บางเขน,จ.กรุงเทพมหานคร,บ้านเลขที่ 121 หมู่ 20 ต.บางเขน อ.บางเขน จ.กรุงเทพมหานคร,อาทิตย์ สมใจ,934720251,ไม่มี,ไม่มี,24,ปกติ,4,ปกติ,0,ไม่มีความเสี่ยง,ปกติ,,ปกติ,,6/18,6/18,มี,ไม่มี,2025-09-11
HN000794,นางสาว,วรัญญา,ทองดี,1115616237003.00,1952-01-27,73,ประถมศึกษา,ชาย,9,4,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 9 หมู่ 4 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,วิชัย เพ็งดี,681576638,ไม่มี,ไม่มี,28,ปกติ,4,ปกติ,2,ต่ำ,ปกติ,,ปกติ,,6/9,6/9,ไม่มี,ไม่มี,2025-08-26
HN000795,นาย,สายฝน,วัฒนวงศ์,1297532804906.00,1934-09-22,91,สูงกว่าประถมศึกษา,หญิง,58,3,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 58 หมู่ 3 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,ไม่มีผู้ดูแล,860906854,ไม่มี,ไม่มี,19,สงสัยผิดปกติ,12,เสี่ยงซึมเศร้า,9,ปานกลาง,ปกติ,,ผิดปกติ,หูตึงปานกลาง,6/24,6/18,ไม่มี,ส่งต่อแพทย์,2025-08-22
HN000796,นาย,สายฝน,สิงหนาท,7563168809588.00,1965-02-02,60,สูงกว่าประถมศึกษา,หญิง,206,2,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 206 หมู่ 2 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,อาทิตย์ เพ็งดี,610616197,ไม่มี,ไม่มี,26,ปกติ,8,เสี่ยงซึมเศร้า,8,ปานกลาง,ปกติ,,ปกติ,,6/12,6/9,มี,ไม่มี,2025-06-26
HN000797,นาง,ปรียา,วัฒนวงศ์,6745121305856.00,1959-02-26,66,สูงกว่าประถมศึกษา,ชาย,162,8,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 162 หมู่ 8 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,วิชัย อินทรา,655715828,มี,โรคหัวใจ,26,ปกติ,6,ปกติ,4,ต่ำ,ปกติ,,ปกติ,,6/6,6/12,ไม่มี,ไม่มี,2025-07-24
HN000798,นาง,ธนพล,กิติวงศ์,9817964870047.00,1943-03-21,82,สูงกว่าประถมศึกษา,หญิง,1,3,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 1 หมู่ 3 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,จิตรา คำแปง,639660534,มี,ความดันโลหิตสูง,25,ปกติ,8,เสี่ยงซึมเศร้า,3,ต่ำ,ผิดปกติ,หูตึงรุนแรง,ผิดปกติ,ติดเชื้อในหู,6/12,6/12,ไม่มี,ไม่มี,2025-08-06
HN000799,นาย,ลลิตา,บุญช่วย,7864037726927.00,1950-02-04,75,ประถมศึกษา,หญิง,124,10,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 124 หมู่ 10 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,อาทิตย์ แสงทอง,861584020,มี,ข้อเข่าเสื่อม,25,ปกติ,6,ปกติ,3,ต่ำ,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,หูตึงรุนแรง,6/12,6/9,ไม่มี,ส่งต่อแพทย์,2025-02-16
